address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex,decoded_data,amount,sender,event,hours_since_transaction,ideal_points
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6']",0x00000000000000000000000000000000000000000000000000038d7ea4c6800000000000000000000000000000000000000000000000000000038d7ea4c68000,19113602,0x569da3041e1367613a9c6589ffd91101ba9cb9e1da5469922f99389693b38f65,2024-01-29 17:14:23,23155997411,198176,300,0x98815daf7a1c96d927d99da48d3341639d440c8355588504ab64ca0dc32edd07,127,"{'event': 'Deposit', 'sender': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'receiver': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'amount': 1000000000000000, 'iShares': 1000000000000000}",0.001,0x118ba543ea810eb05be7feaf9d3db84e3d1381c6,Deposit,761.0,0.761
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xfbde797d201c681b91056529119e0b02407c7bb96a4a2c75c01fc9667232c8db', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6', '0x000000000000000000000000118ba543ea810eb05be7feaf9d3db84e3d1381c6']",0x0000000000000000000000000000000000000000000000000001c6bf526340000000000000000000000000000000000000000000000000000001c6bf52634000,19113628,0xf2ae1d181a955e7afd88e1e1f7c357c09594ee3b18c2665aac8a693c60d36e71,2024-01-29 17:19:35,23773092918,200880,183,0xc2b9bff469683f5f3f0123f8c80c71b21b3756fd821a56347793cc55e9a90fa1,97,"{'event': 'Withdraw', 'sender': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'receiver': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'owner': '0x118ba543ea810eb05be7feaf9d3db84e3d1381c6', 'amount': 500000000000000, 'iShares': 500000000000000}",0.0005,0x118ba543ea810eb05be7feaf9d3db84e3d1381c6,Withdraw,761.0,-0.3805
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x00000000000000000000000046523f4e792e30a266d9b29469076a1695f17081', '0x00000000000000000000000046523f4e792e30a266d9b29469076a1695f17081']",0x0000000000000000000000000000000000000000000000000de30ab58d0f7d1e0000000000000000000000000000000000000000000000000de30ab58d0f7d1e,19114214,0x00f99c74c0a7f35ca89b253f4a76375905e0365ca5b673a47131e189d4238d56,2024-01-29 19:17:23,16152022461,162924,228,0x60ce271f65d024386c75efae6003c0326f69584100f596a473f24308a847a44b,96,"{'event': 'Deposit', 'sender': '0x46523f4e792e30a266d9b29469076a1695f17081', 'receiver': '0x46523f4e792e30a266d9b29469076a1695f17081', 'amount': 1000655317078342942, 'iShares': 1000655317078342942}",1.000655317078343,0x46523f4e792e30a266d9b29469076a1695f17081,Deposit,759.0,759.4973856624623
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000204250658c49f3944d8767ec8d2fda5594e172fe', '0x000000000000000000000000204250658c49f3944d8767ec8d2fda5594e172fe']",0x0000000000000000000000000000000000000000000000004220c54825cfd9e80000000000000000000000000000000000000000000000004220c54825cfd9e8,19114328,0x0c66783af51924eb8ef96eddddc61b2c865f5eddaeb1cdf07bd7d34e036997bb,2024-01-29 19:40:23,14196471733,162924,61,0x2846aa002fa36bf37d279f159ca20bc9c35678b2dbff0c121396e8b65ed8fa07,16,"{'event': 'Deposit', 'sender': '0x204250658c49f3944d8767ec8d2fda5594e172fe', 'receiver': '0x204250658c49f3944d8767ec8d2fda5594e172fe', 'amount': 4765025319420680680, 'iShares': 4765025319420680680}",4.76502531942068,0x204250658c49f3944d8767ec8d2fda5594e172fe,Deposit,759.0,3616.6542174402957
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000b9fe66b3440edd0cf5f1d1a55c75f8a8e59b6cb2', '0x000000000000000000000000b9fe66b3440edd0cf5f1d1a55c75f8a8e59b6cb2']",0x00000000000000000000000000000000000000000000000022b1c8c1227a000000000000000000000000000000000000000000000000000022b1c8c1227a0000,19114512,0x859cc0c83cb9f3c78bba0f7456537ae5780ec13ff679dd4656205b0a0813173e,2024-01-29 20:17:59,13170860347,167700,250,0x4a737432bbab53ed460f9384c2e05589b42298a7cf8ca3d2b4b9a23e25904968,133,"{'event': 'Deposit', 'sender': '0xb9fe66b3440edd0cf5f1d1a55c75f8a8e59b6cb2', 'receiver': '0xb9fe66b3440edd0cf5f1d1a55c75f8a8e59b6cb2', 'amount': 2500000000000000000, 'iShares': 2500000000000000000}",2.5,0xb9fe66b3440edd0cf5f1d1a55c75f8a8e59b6cb2,Deposit,758.0,1895.0
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000989405864bdebcd1b0c892355c2740bde33a060f', '0x000000000000000000000000989405864bdebcd1b0c892355c2740bde33a060f']",0x0000000000000000000000000000000000000000000000000de0b6b3a76400000000000000000000000000000000000000000000000000000de0b6b3a7640000,19115156,0xf6262dbf2a5f0deff92ad9da0db3137ec16992b2969c4d3875a5414c96e91a30,2024-01-29 22:27:47,12763477375,162900,379,0x6fd17f32390bcec7d21b654b37dc96e08f91c02a5b84d9ae153c664d645ce604,178,"{'event': 'Deposit', 'sender': '0x989405864bdebcd1b0c892355c2740bde33a060f', 'receiver': '0x989405864bdebcd1b0c892355c2740bde33a060f', 'amount': 1000000000000000000, 'iShares': 1000000000000000000}",1.0,0x989405864bdebcd1b0c892355c2740bde33a060f,Deposit,756.0,756.0
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x0000000000000000000000009fa4773d3110ccbd3c2e51fd58066a0bab488d5e', '0x0000000000000000000000009fa4773d3110ccbd3c2e51fd58066a0bab488d5e']",0x0000000000000000000000000000000000000000000000000de0b6b3a76400090000000000000000000000000000000000000000000000000de0b6b3a7640009,19115357,0x99b6b1dee88bcbc4fb30e8061ad263a0d963ac186e9f43653f6266dbf5afc6c9,2024-01-29 23:08:47,17230361703,162912,291,0xe9c22b29cf38bdcd3bb5dccc7c26ea7603f14fd8d12c5bbcff7e0d180c66eabd,152,"{'event': 'Deposit', 'sender': '0x9fa4773d3110ccbd3c2e51fd58066a0bab488d5e', 'receiver': '0x9fa4773d3110ccbd3c2e51fd58066a0bab488d5e', 'amount': 1000000000000000009, 'iShares': 1000000000000000009}",1.0,0x9fa4773d3110ccbd3c2e51fd58066a0bab488d5e,Deposit,756.0,756.0
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x00000000000000000000000099329a9d73f7136ee28e344bd85132eeafae3fdc', '0x00000000000000000000000099329a9d73f7136ee28e344bd85132eeafae3fdc']",0x000000000000000000000000000000000000000000000000079a90ea34a9d336000000000000000000000000000000000000000000000000079a90ea34a9d336,19118596,0x94c11b54b2cc4a8eaddf1f5606b952b29d494108f1ad3dd69a5447034888cad6,2024-01-30 10:01:47,24000000000,162879,362,0x08009c251eb416f19270a24a26b3c0547b294f833a595915d302b27803aea10d,141,"{'event': 'Deposit', 'sender': '0x99329a9d73f7136ee28e344bd85132eeafae3fdc', 'receiver': '0x99329a9d73f7136ee28e344bd85132eeafae3fdc', 'amount': 547909640259228470, 'iShares': 547909640259228470}",0.5479096402592285,0x99329a9d73f7136ee28e344bd85132eeafae3fdc,Deposit,745.0,408.19268199312523
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x0000000000000000000000000a251df99a88a20a93876205fb7f5faf2e85a481', '0x0000000000000000000000000a251df99a88a20a93876205fb7f5faf2e85a481']",0x000000000000000000000000000000000000000000000000016345785d8a0000000000000000000000000000000000000000000000000000016345785d8a0000,19120124,0xe7af9c29ad24592f5b7ceae6cab08f3a1a7d30a05eeb4d09a3bb83f6d3cb80d4,2024-01-30 15:08:59,46926142196,167655,161,0xdbaaa6f15aa53c2a57726685ce21a1dd35b74503f607332e85663220094a2d0f,45,"{'event': 'Deposit', 'sender': '0x0a251df99a88a20a93876205fb7f5faf2e85a481', 'receiver': '0x0a251df99a88a20a93876205fb7f5faf2e85a481', 'amount': 100000000000000000, 'iShares': 100000000000000000}",0.1,0x0a251df99a88a20a93876205fb7f5faf2e85a481,Deposit,740.0,74.0
0xc4181dc7bb31453c4a48689ce0cbe975e495321c,"['0xdcbc1c05240f31ff3ad067ef1ee35ce4997762752e3a095284754544f4c709d7', '0x000000000000000000000000a15e6ab70b744af9c321df837f00310d3f857517', '0x000000000000000000000000a15e6ab70b744af9c321df837f00310d3f857517']",0x00000000000000000000000000000000000000000000000002a511038cc0a28200000000000000000000000000000000000000000000000002a511038cc0a282,19125453,0x411e84e4aa52f4a425eb2123f2c224bb96d13cd8e255547b15f127fb1e3a79bd,2024-01-31 09:04:35,18746659178,162867,622,0xe62d0489d46c49cf78d553468b1a166c73607b676f3393597f43d0ea3875d488,306,"{'event': 'Deposit', 'sender': '0xa15e6ab70b744af9c321df837f00310d3f857517', 'receiver': '0xa15e6ab70b744af9c321df837f00310d3f857517', 'amount': 190577266177122946, 'iShares': 190577266177122946}",0.19057726617712295,0xa15e6ab70b744af9c321df837f00310d3f857517,Deposit,722.0,137.59678617988277
